---
name: Uniform Dataset
description: Dataset with 100000 points describing an uniform distribution (square) in 2d-space with values in [0,1]. Generated on 2023/04/26.
variables: 
    - x
    - y
inputs: 2
outputs: 0
---
0.3618030548095703,0.5132095217704773
0.932993471622467,0.9171146750450134
0.8330913186073303,0.03767293691635132
0.32647573947906494,0.12466812133789062
0.2355237603187561,0.03533589839935303
0.3491153120994568,0.9880507588386536
0.44807761907577515,0.9138466715812683
0.6381528973579407,0.11559122800827026
0.15826648473739624,0.9297478199005127
0.7688880562782288,0.2626492977142334
0.9450734257698059,0.1447993516921997
0.06558501720428467,0.5781572461128235
0.8102312684059143,0.339540958404541
0.47791534662246704,0.7388768196105957
0.3325863480567932,0.2826598286628723
0.6925312876701355,0.6485112905502319
0.9162288308143616,0.43298619985580444
0.35086220502853394,0.9336864948272705
0.09024322032928467,0.8912690877914429
0.5554002523422241,0.4475787281990051
0.10277485847473145,0.8238258361816406
0.9443582892417908,0.16122066974639893
0.19418323040008545,0.6428768634796143
0.25351595878601074,0.9644891023635864
0.696068286895752,0.5826590061187744
0.04733431339263916,0.06131899356842041
0.20072144269943237,0.48067301511764526
0.8501458764076233,0.3902719020843506
0.39801889657974243,0.22469907999038696
0.2316681146621704,0.1613229513168335
0.1560138463973999,0.5141766667366028
0.06663912534713745,0.5173344612121582
0.1026831865310669,0.005477786064147949
0.5915259718894958,0.11451619863510132
0.377774178981781,0.1514197587966919
0.4956587553024292,0.19620686769485474
0.5969139337539673,0.8336077332496643
0.9115413427352905,0.40014493465423584
0.08966439962387085,0.3400258421897888
0.18937212228775024,0.9982663989067078
0.5267229676246643,0.11850559711456299
0.9619825482368469,0.6928114891052246
0.479800283908844,0.6886993050575256
0.5145996809005737,0.17162972688674927
0.8048039674758911,0.911016047000885
0.48331665992736816,0.8131369948387146
0.00188446044921875,0.6713035106658936
0.6093012690544128,0.6971285343170166
0.5848546028137207,0.7661666870117188
0.6930870413780212,0.15694117546081543
0.6407986879348755,0.0776212215423584
0.12341517210006714,0.7522606253623962
0.03478538990020752,0.8598224520683289
0.8247777819633484,0.766787052154541
0.4240577816963196,0.36805427074432373
0.18194597959518433,0.17323440313339233
